Q_true,R_true,Q_pred,R_pred
1.5512425,0.35482743,1.0280269,0.3258748
1.5439292,0.5652629,0.5970477,0.6907512
0.3953909,0.99384844,0.9931443,0.9140878
1.9842341,1.3575677,0.44703025,1.3994445
1.7904222,0.7125107,1.3527225,0.7931508
0.5480606,0.04029813,0.9570633,0.04809673
1.7850316,1.401894,1.074925,1.2892886
0.28473887,1.5878199,0.7806254,1.5821718
1.3399233,1.5558816,0.65293044,1.7702872
1.3058587,0.23053302,1.1856968,0.23943816
0.6702589,1.4688977,0.7978475,1.3873715
1.2321879,1.9967515,0.6180364,1.9102223
1.8123649,0.5961912,0.95162714,0.62622833
1.7198845,1.4702694,1.3549883,1.4777768
0.94374716,1.1164148,0.6673504,1.1761086
0.32298434,1.1968923,0.68694,0.9673785
0.38720515,0.8673966,0.5713583,1.0685147
0.9287167,1.5823841,0.44544807,1.6713533
0.47790375,0.071434826,0.9265405,0.06757626
0.84198236,0.45987692,0.75042236,0.5888518
1.9665732,0.2931356,1.0186495,0.2533238
1.1519881,0.603937,0.598426,0.6830685
1.1047877,1.992977,0.45742008,1.8933179
1.1575886,1.8052044,0.97015214,1.7449687
0.36960018,0.5031322,1.0919878,0.52609575
0.42234552,0.42424357,0.98131216,0.49666557
0.516757,0.16617052,0.8609823,0.21132302
1.5305796,0.8364345,0.38516507,0.9206377
0.9157349,0.13197045,0.9185945,0.09127634
0.94002825,0.25772202,1.0222664,0.24339615
1.7264616,0.2552133,0.81130755,0.26460874
0.3672386,1.2484233,1.4944263,1.2918137
1.9980056,0.8971769,1.2241064,0.93737745
1.1326798,1.9817307,0.838997,1.9886504
1.529308,1.2169998,0.89331055,1.5630498
1.3938891,1.4765177,0.10883406,1.4683919
0.19477783,0.10986909,0.72393596,0.12115703
1.7737936,1.8022249,1.0327041,1.4813303
1.7774184,0.16903655,0.76725405,0.23738277
1.4080378,0.8424868,0.99387383,0.8830751
0.19634627,0.13265699,0.9223881,0.122209616
0.57622105,1.5347121,0.91023004,1.3193586
1.357088,1.288983,1.4186026,1.0990165
0.8888169,1.1188866,1.1956669,1.1702175
1.6627548,1.6618677,0.6156875,1.6915327
0.73127645,0.92828065,0.7094714,0.94066346
0.37439784,0.8695286,0.8821255,0.8931906
1.2534753,0.33295768,0.9320791,0.35632867
0.6479854,1.5533799,0.5769508,1.611445
1.5747731,0.09281789,0.9307859,0.057976395
1.1934917,0.77846164,1.0098875,0.8157929
0.133569,0.48926222,0.9638883,0.5306952
0.11538766,1.8472275,1.5867817,1.8218466
1.0842568,0.078073725,0.82255626,0.062349334
1.6610016,0.040941466,0.89842296,0.05348648
0.064799406,1.8188088,1.2761515,1.9007092
0.62153566,0.033982113,0.903509,0.024252616
0.26424724,0.5733135,0.82038033,0.61592424
1.3820177,0.12885119,0.85975015,0.13861182
1.2453786,1.4628917,1.2019241,1.6498559
0.7812298,1.9550085,0.83465946,1.7934239
0.08759225,1.1363782,1.6157383,1.245353
0.79138565,0.20962921,0.7376306,0.25510335
0.9297451,0.91024816,1.3121148,0.9344617
1.8466326,1.4241025,1.4915644,1.3886371
0.44572335,0.7098336,1.0003883,0.83416927
1.166718,0.9038112,0.7276226,1.0145391
0.5842129,1.002665,1.0572678,1.0662051
0.45770678,0.3753862,0.98410404,0.4262859
0.492911,0.26596096,1.0777178,0.28996378
0.90192586,1.7155846,0.38885665,1.4077214
0.5230495,1.0260913,0.64751387,0.9208747
1.3004042,1.101635,0.6782476,0.9643793
1.3753839,1.844618,0.4353636,1.9973547
1.5789436,1.7744948,1.2281001,1.8013374
0.59002674,0.631675,1.1382259,0.83110666
0.8594393,0.7218381,1.2638916,0.6714059
0.7592219,0.6939713,0.71753573,0.7154801
0.49810383,1.2335573,0.7916951,1.3219178
1.3011748,0.8491649,0.49517402,0.7525909
1.9684103,0.6893739,0.87210643,0.7468878
1.7186359,1.6955557,0.91859066,1.6942848
1.0598316,1.3293804,0.9992409,1.1829407
1.9637429,0.21046296,0.90264094,0.1967554
0.05874746,1.7284585,0.7324234,1.6724114
1.5481406,0.28549638,0.94920695,0.30889142
0.32257712,0.6414839,1.1266153,0.62133837
1.641727,1.8179822,1.0491353,1.4205644
0.43509844,0.9967733,0.9292035,1.0483373
0.6424931,1.6387869,0.63423157,1.4938835
0.12785512,1.4991491,0.8734524,1.5141504
0.6239905,1.5455922,0.5793184,1.7162234
0.35149935,0.32889763,0.70799077,0.30878326
1.5048182,0.6560701,0.84843874,0.6074007
0.8884031,1.6289606,0.7984363,1.9017658
1.1175963,1.3827233,1.0790892,1.5144477
1.3939033,0.9368919,1.2490357,0.8671181
1.9351257,0.3186404,0.85876346,0.40273592
0.62492335,0.14473951,0.95031464,0.13817084
0.13348585,0.54356796,1.1828426,0.5571314
